Date,Consumer Price Index,Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,Country
01-May-2014,409.98,413.78,323.2,490.58,247.53,473.8,385.53,554.71,285.04,508.84,353.88,472.42,475.36,Sudan
01-Jun-2014,428.32,442.55,325.97,496.95,248.87,493.07,400.13,556.71,286.16,512.4,382.29,474.08,478.33,Sudan
01-Jul-2014,448.85,471.41,328.47,567.7,250.9,500.77,403.49,565.13,287.34,516.62,383.66,477.18,488.5,Sudan
01-Aug-2014,462.24,494.45,330.06,571.38,254.63,504.09,404.72,565.54,287.42,522.09,384.42,479.29,489.63,Sudan
01-Sep-2014,459.51,482.2,334.4,574.6,258.57,504.53,405.41,580.2,289.55,597.44,385.22,480.77,489.16,Sudan
01-Oct-2014,459.75,482.23,337.74,574.93,259.1,503.94,406.02,580.39,289.92,598.34,385.22,484.28,490.41,Sudan
01-Nov-2014,463.23,481.68,345.06,575.36,260.57,505.57,406.27,596.25,290.68,600.35,445.82,487.33,500.71,Sudan
01-Dec-2014,468.63,482.07,349.13,587.17,283.52,506.62,406.91,601.47,290.72,635.41,445.82,488.97,502.5,Sudan
01-Jan-2015,472.52,468.08,361.51,621.64,292.36,549.97,432.15,636.7,291.44,648.01,476.03,516.54,520.85,Sudan
01-Feb-2015,474.7,468.38,362.23,632.91,292.59,551.72,433.75,637.25,297.35,693.08,476.11,522.3,522.97,Sudan
01-Mar-2015,480.66,477.3,363.62,636.67,293.58,554.71,436.61,638.55,297.86,693.91,490,526.75,525.79,Sudan
01-Apr-2015,485.09,482.49,363.62,639.11,295.21,551.33,437.08,640.17,359.07,701.53,490.23,531.99,530.33,Sudan
01-May-2015,491.01,491.78,374.47,644.75,296.44,551.79,437.62,642.47,359.11,701.73,493.07,538.83,531.67,Sudan
01-Jun-2015,506.53,515.58,383.72,654.31,299.73,558.2,441.48,646.96,369.63,704.36,508.31,553.36,536.9,Sudan
01-Jul-2015,512.11,519.57,383.93,676.68,301.21,562.4,444.8,658.18,371.71,728.13,514.82,559.64,541.16,Sudan
01-Aug-2015,514.53,521.03,435.33,688.06,301.39,564.44,446.71,658.89,373.67,728.26,515.04,575.83,545.98,Sudan
01-Sep-2015,521.82,523.1,437.36,704.43,324.49,574.85,447.29,664.21,375.28,764.15,515.77,577.71,550.1,Sudan
01-Oct-2015,521.23,516.06,441.85,706.67,326.09,577.34,447.29,682.27,435.85,764.21,515.77,578.99,552.21,Sudan
01-Nov-2015,522.54,514.62,442.57,726.72,328.21,577.7,447.7,690.76,443.3,764.13,515.78,578.99,552.28,Sudan
01-Dec-2015,527.59,519.93,450.77,728.37,328.85,578.67,449.2,713.73,443.32,764.13,515.78,578.99,552.97,Sudan
01-Jan-2016,531.31,514.48,457.66,742.33,331.58,603.85,454.39,719.56,459.12,772.38,534.13,628.19,598.75,Sudan
01-Feb-2016,536.14,509.27,470.61,759.77,345.29,626.8,472.81,745.57,475.64,779.41,534.93,644.43,599.08,Sudan
01-Mar-2016,536.9,505.3,470.61,763.28,346.2,628.66,478.73,756.7,481.27,792.29,563.41,646.31,609.03,Sudan
01-Apr-2016,547.41,520.02,470.76,767.9,347.24,632,481.42,758.43,482.26,875.37,557.28,647.76,618.26,Sudan
01-May-2016,559.66,539,477.46,774.95,348.52,639.47,486.54,758.5,485,889.5,567.13,653.8,630.7,Sudan
01-Jun-2016,579.01,561.4,478.74,808.1,350.23,649.66,491.74,759.97,498.01,902.62,711.78,663.58,638.71,Sudan
01-Jul-2016,596.59,582.08,496.21,815.34,353.43,652.78,519.06,805.2,498.64,898.32,737.57,675.79,661.28,Sudan
01-Aug-2016,607.92,596.47,543.18,820.48,353.65,655.86,523.47,817.7,521.62,943.91,740.45,676.92,673.59,Sudan
01-Sep-2016,617.4,603.51,559.35,835.71,370.4,670.73,528.75,829.33,521.62,944.05,756.36,676.94,677.63,Sudan
01-Oct-2016,623.39,610.96,560.59,842.88,372.3,670.98,530.63,839.12,529.12,946.51,757.09,688.05,683.16,Sudan
01-Nov-2016,676.62,649.21,604.76,878.79,387.11,736.42,739.2,1039.15,544.95,1016.63,770.99,786.11,731.68,Sudan
01-Dec-2016,688.37,658.47,616.05,892.25,388.8,748.96,744.31,1083.92,548.09,1022.63,775.46,814.04,744.31,Sudan
01-Jan-2017,705.91,656.6,618.24,899.84,391.35,760.15,766.91,1243.45,548.16,1053.47,775.91,880.27,794.47,Sudan
01-Feb-2017,715.92,669.51,621.93,908.6,394.53,772.05,793.98,1245.05,568.46,1068.54,775.92,883.81,807.02,Sudan
01-Mar-2017,723.08,680.04,621.99,912.63,397.63,777.19,803.55,1245.64,571.01,1069.99,779.38,885.53,816.59,Sudan
01-Apr-2017,737.98,706.1,624.07,915.14,399.45,780.22,804.65,1245.99,574.51,1070.28,779.38,901.59,819.05,Sudan
01-May-2017,758.46,740.92,624.07,917.69,405.69,785.63,806.89,1246.33,575.68,1084.15,779.51,912.53,821.44,Sudan
01-Jun-2017,767.93,751.88,624.96,943.82,407.6,791.15,808.42,1260.58,575.79,1088.12,779.97,931.28,825.34,Sudan
01-Jul-2017,800.78,802.54,629.96,972.42,409.2,806.35,812.53,1266,576.55,1182.45,784.14,936.44,848.79,Sudan
01-Aug-2017,818.29,829.64,632.29,979.74,411.06,813.95,837.92,1269.13,581.59,1189.22,784.23,981.14,859.51,Sudan
01-Sep-2017,834.29,853.58,642.22,986.07,414.5,822.81,849.01,1270.45,581.78,1191.59,784.41,1020.72,886.59,Sudan
01-Oct-2017,829.6,835.24,642.22,990.04,436.21,827.45,855.67,1270.94,586.37,1240.96,784.41,1023.27,890.15,Sudan
01-Nov-2017,844.15,853.04,645.14,995.97,442.71,845.47,866.16,1273.94,592.61,1245.89,785.11,1103.83,900.6,Sudan
01-Dec-2017,861.5,867.28,646.15,1001.8,449.39,861.67,867.88,1325.72,599.93,1364.55,789.13,1105.44,910.01,Sudan
01-Jan-2018,1075.58,1025.68,693.58,1146.22,474.43,1294.67,1241.79,2048.15,750.56,1756.37,829.84,1427.26,1156.46,Sudan
01-Feb-2018,1104.99,1058.35,784.55,1169.53,474.71,1321.65,1265.67,2074.59,892,1820.83,830.11,1473.32,1204.99,Sudan
01-Mar-2018,1125.13,1089.39,817.13,1177.66,475.19,1333.39,1268.23,2087.71,894.94,1824.4,830.2,1486.26,1232.04,Sudan
01-Apr-2018,1163.41,1135.19,819.88,1200.8,478.94,1361.31,1275.15,2187.95,895.5,1868.69,830.21,1506.49,1257.02,Sudan
01-May-2018,1220.61,1222.21,831.78,1260.18,482.38,1399.91,1285.19,2226.87,916.52,1881,836.27,1517.71,1289.91,Sudan
01-Jun-2018,1258.31,1271.3,831.78,1430.55,482.38,1400.71,1286.09,2226.87,916.52,1887.52,961.63,1517.71,1304.72,Sudan
01-Jul-2018,1312.8,1371.97,840.78,1456.54,482.38,1400.71,1286.09,2226.87,916.52,1887.67,961.63,1517.71,1304.72,Sudan
01-Aug-2018,1365.05,1448.08,854,1533.55,495.63,1423.26,1300.37,2231.72,932.28,2032.32,961.72,1541.9,1320.31,Sudan
01-Sep-2018,1406.94,1491.29,858.81,1567.1,533.46,1470.28,1304.23,2240.94,943.33,2046.47,961.74,1827.57,1363.13,Sudan
01-Oct-2018,1397.38,1472.43,836.57,1583.19,535.37,1483.91,1306.07,2202.63,949.1,2066.35,961.74,1842.09,1398.9,Sudan
01-Nov-2018,1426.03,1518.45,836.8,1590.52,540.18,1488.19,1310.97,2202.75,949.1,2176.57,961.81,1855.45,1406.16,Sudan
01-Dec-2018,1489.84,1623.61,889.9,1602.14,550.67,1505.72,1322.26,2203.98,949.42,2180.82,961.81,1996.81,1447.85,Sudan
01-Jan-2019,1542.96,1655.04,1011.42,1835.62,582.18,1672.52,1381.94,2214.65,975.81,2223.88,991.86,2063.85,1595.97,Sudan
01-Feb-2019,1594.43,1714.97,1041.33,1880.48,595.01,1712.59,1396.11,2220.47,1423.47,2284.19,992.5,2164.08,1644.12,Sudan
01-Mar-2019,1635.95,1760.72,1045.93,1906.61,604.6,1891.84,1422,2224.92,1043.77,2320.58,1023.25,2382.62,1701.85,Sudan
01-Apr-2019,1681.78,1841.72,1066.14,1911.09,609.29,1908.77,1431.92,2234.73,1046.39,2322.41,1023.26,2362.93,1711.53,Sudan
01-May-2019,1769.32,1930.44,1067.93,2588.09,618.32,1979.72,1447.7,2257.32,1055.95,2339.91,1040.47,2363.66,1735.23,Sudan
01-Jun-2019,1859.55,2039.01,1390.77,2763.09,629.8,2036.2,1464.48,2277.3,1045.1,2429.62,1409.15,2417.89,1820.29,Sudan
01-Jul-2019,2003.22,2244.43,1444.52,2856.98,639.83,2133.41,1532.5,2332.48,1067.56,2992.5,1414.2,2485.09,1914.28,Sudan
01-Aug-2019,2090.33,2344.79,1647.72,2923.38,661.86,2228.04,1548.54,2363.5,1086.08,3579.77,1414.32,2541.69,2012.54,Sudan
01-Sep-2019,2160.06,2400.24,1673.07,2922.82,769.22,2368.64,1568.17,2424.87,1100.35,3865.45,1414.32,2605.05,2089.96,Sudan
01-Oct-2019,2203.66,2455.18,1722.95,2946.63,772.75,2395.58,1592.04,2441.19,1113.76,4012.13,1414.32,2654.23,2263.6,Sudan
01-Nov-2019,2291.2,2582.77,1745.22,2988.62,788.28,2433.55,1603.83,2540.75,1155.14,4016.51,1414.44,2708.51,2368.19,Sudan
01-Dec-2019,2339.21,2651.03,1756.13,3033.5,803.82,2465.15,1616.36,2546.3,1171.13,4045.84,1414.52,2770.53,2463.73,Sudan
01-Jan-2020,2534.8,2776.1,1811.8,3286.6,830,2825.1,1667.3,3210.9,1318.8,4681,1423.5,3096,2805.2,Sudan
01-Feb-2020,2732.19,3020.53,1916,3538.91,881.87,2949.22,1679.83,3410.96,1332.57,5507.91,1423.61,3139.27,2943.48,Sudan
01-Mar-2020,1635.95,1760.72,1045.93,1906.61,604.6,1891.84,1422,2224.92,1043.77,2320.58,1023.25,2382.62,1701.85,Sudan
01-Apr-2020,1681.78,1841.72,1066.14,1911.09,609.29,1908.77,1431.92,2234.73,1046.39,2322.41,1023.26,2362.93,1711.53,Sudan
01-May-2020,3790.39,4410.15,2454.02,4936.75,1104.44,3587.04,1998.36,5065.61,2199.08,5603.97,1424.03,3805.04,3242.09,Sudan
01-Jun-2020,4395.27,4851.67,2583.79,5784.08,1178.1,4061.73,2181.06,6528.56,2301.58,11512.81,1424.04,4061.1,4238.76,Sudan
01-Jul-2020,4883.47,5307.35,2637.8,6165.29,1225.11,4340.87,2293.58,8544.11,2442.87,12437.51,1424.5,4335.88,4439.86,Sudan
01-Aug-2020,5577.55,5775.33,3110.64,7192.15,1254.4,5123.75,2516.35,11199.08,2584.46,15365.52,1443.57,5528.98,5203.26,Sudan
01-Sep-2020,6745.76,6615.16,3538.24,7797.36,2434.42,5695.76,2772.69,16531.6,2644.7,15572.08,1452.57,6439.8,5708.85,Sudan
01-Oct-2020,7268.71,7231.21,4332.65,8573.49,2510.17,6034.47,3247.03,16723.66,3128.51,17121.51,1453.55,7417.61,7115.57,Sudan
01-Nov-2020,8118.59,7829.23,4440.46,8971.75,2584.78,6372.94,3292.02,22264.62,3171.32,17601.79,1515.92,7510.62,7233.87,Sudan
01-Dec-2020,8639.5,8124.5,5087.22,9184.89,2675.27,6643.71,3475.71,25556.54,3226.95,17859.2,1516.88,8458.27,7790.97,Sudan
01-Jan-2021,10248.91,9668.18,6096.42,10562.76,3123.5,8483.99,4741.99,29128.02,3969.81,19879.27,4233.27,10589.6,9449.01,Sudan
01-Feb-2021,11769.67,10934.07,6381.4,11417.32,3586.05,9711.16,5039.55,35804.63,4084.89,21982.59,5046.55,11262.79,10007.15,Sudan
01-Mar-2021,13127.74,11717.47,6831.36,13876.05,3951.12,11381.81,5945.87,41265.86,6508.48,24336.23,5074.88,13911.07,11699.09,Sudan
01-Jan-2005,114.49,111.95,121.95,110.77,115.51,111.4,112.84,117.99,103.99,113.37,130.87,124.44,114.34,Turkey
01-Feb-2005,114.51,112.92,124.33,103.13,116.11,112.24,112.38,118.58,104.17,113.07,130.31,126.28,113.12,Turkey
01-Mar-2005,114.81,113.03,124.53,99.69,117.37,112.15,113.38,119.42,104.43,111.89,130.18,129.26,114.66,Turkey
01-Apr-2005,115.63,111.94,124.6,108.26,117.82,112.82,114.17,121.91,104.19,111,130.06,130.48,115.84,Turkey
01-May-2005,116.69,111.95,124.6,117.82,117.47,113.48,114.27,122.12,105.05,115.51,130.53,131.7,115.9,Turkey
01-Jun-2005,116.81,110.12,124.69,118.78,118.14,114.61,114.39,122.99,104.44,120.14,134.76,132.69,116.86,Turkey
01-Jul-2005,116.14,108.85,127.15,109.93,119.17,114.26,112.81,124.14,104.27,121.39,135.98,133.97,115.85,Turkey
01-Aug-2005,117.13,108.77,148.6,104.36,120.25,113.93,111.16,125.9,104.57,123.04,136.93,134.86,117.38,Turkey
01-Sep-2005,118.33,110.23,148.6,105.56,122.41,112.33,111.36,128.12,105.13,119.68,140.37,137.06,119.31,Turkey
01-Oct-2005,120.45,112.71,148.61,113.21,124.21,114.43,111.53,128.64,106.36,118.96,140.49,139.29,121.34,Turkey
01-Nov-2005,122.14,116.39,148.62,117.21,125.51,115.4,111.65,127.58,106.14,118.05,140.69,140.57,122.47,Turkey
01-Dec-2005,122.65,116.08,155.93,116.52,126.06,116.61,111.75,127.35,105.88,118.62,140.69,141.29,125.41,Turkey
01-Jan-2006,123.57,117.61,163.19,109.24,127.66,117.01,112.47,129.29,107.99,117.78,140.73,142.75,127.85,Turkey
01-Feb-2006,123.84,120.44,163.2,100.26,129.22,115.14,113.22,129.49,107.64,115.84,140.7,144.43,129.33,Turkey
01-Mar-2006,124.18,122,163.44,97.33,130,114.65,113.64,129.67,106.82,114.88,140.91,145.56,129.59,Turkey
01-Apr-2006,125.84,122.75,163.48,106.27,130.27,115.37,113.96,131.49,106.68,117.6,141.07,147.23,133.37,Turkey
01-May-2006,128.2,123.63,163.48,117.83,130.92,115.89,116.81,133.5,107.31,120.78,141.47,150.47,140.14,Turkey
01-Jun-2006,128.63,120.27,163.48,118.82,133.77,117.46,117.29,138.53,108.33,123.82,144.24,151.74,138.91,Turkey
01-Jul-2006,129.72,121.97,163.5,110.58,136.12,120.77,116.2,142.5,108.53,125.35,145.8,152.82,142.21,Turkey
01-Aug-2006,129.15,120.5,163.49,102.93,137.72,123.11,118.11,142.56,107.91,126.55,146.39,153.94,141.38,Turkey
01-Sep-2006,130.81,123.95,163.77,105.42,139.12,125.11,120.14,140.05,107.8,127.39,151.74,156.9,139.99,Turkey
01-Oct-2006,132.47,124.89,163.78,115.61,140.91,125.56,120.39,140.16,107.61,129.29,151.67,158.8,139.91,Turkey
01-Nov-2006,134.18,128.28,163.8,121.16,142.74,124.96,120.59,139.77,107.45,126.89,151.51,159.93,141.04,Turkey
01-Dec-2006,134.49,129.05,163.82,118.74,143.76,125.13,120.61,140.27,107.3,128.41,151.56,160.42,140.87,Turkey
01-Jan-2007,135.84,134.78,163.83,108.73,145.46,125.25,121.41,140.23,109.14,128.43,151.56,162.23,141.97,Turkey
01-Feb-2007,136.42,136.94,167.94,101.69,146.18,126.19,121.96,141.17,109.04,127.46,151.68,163.24,143.68,Turkey
01-Mar-2007,137.67,137.79,180.06,101.41,146.77,128.43,122.29,142.88,108.5,126.98,151.53,164.59,144.39,Turkey
01-Apr-2007,139.33,139.09,180.11,112.88,147.17,127.91,122.63,144.15,107.89,127.87,152.06,165.48,144.88,Turkey
01-May-2007,140.03,136.78,180.13,125.69,147.72,130.28,122.73,144.31,107.63,125.59,152.68,166.9,143.87,Turkey
01-Jun-2007,139.69,134.13,180.16,127.32,148.3,130.59,122.81,144.07,109.15,127.24,156.07,167.79,142.98,Turkey
01-Jul-2007,138.67,133.18,180.22,117.5,149.12,130.89,122.93,144.03,107.61,127.55,157.19,168.6,142.67,Turkey
01-Aug-2007,138.7,135.43,180.22,109.12,150.17,130.84,123.09,143.89,104.47,128.28,157.6,169.79,143.61,Turkey
01-Sep-2007,140.13,138.53,180.26,110.89,151.62,129.22,123.19,144.77,103.95,127.37,161.19,171.6,144.74,Turkey
01-Oct-2007,142.67,143.26,180.26,120,152.6,129.54,123.28,144.17,103.93,127.7,160.88,174.25,146.22,Turkey
01-Nov-2007,145.45,144.05,191.99,125.16,158.72,130.1,122.45,147.77,103.87,127.34,160.68,176.84,148.92,Turkey
01-Dec-2007,145.77,144.57,192,123.59,160.26,130.35,121.63,147.65,105.39,126.79,160.6,177.85,148.02,Turkey
01-Jan-2008,146.94,147.21,191.98,110.96,167.09,131.15,121.84,149.62,106.46,125.46,160.64,179.62,151.88,Turkey
01-Feb-2008,148.84,154.65,192.02,103.27,167.74,132.28,121.93,150.43,106.59,125.46,160.59,181.23,154.5,Turkey
01-Mar-2008,150.27,156.26,192.42,105.13,168.36,133.76,122.03,152.21,107.05,127.09,161.22,183.42,157.89,Turkey
01-Apr-2008,152.79,157.84,192.47,117.42,169.57,134.45,122.1,155.83,107.09,126.92,161.42,186.61,159.14,Turkey
01-May-2008,155.07,158.24,192.48,131.5,170.26,137.28,122.17,158.27,107.05,128.93,162.89,189.71,157.84,Turkey
01-Jun-2008,154.51,152.86,192.49,130.96,172.48,138.71,122.31,160.84,107.76,129.83,166.78,191.82,158.15,Turkey
01-Jul-2008,155.4,153.53,192.6,120.48,181.69,140.07,122.43,160.33,108.74,130.39,168.22,193.61,159.61,Turkey
01-Aug-2008,155.02,153.48,192.62,113.19,185.55,140.07,124.31,157.84,109.23,130.7,169.07,195.12,156.39,Turkey
01-Sep-2008,155.72,153.87,192.64,113.77,186.84,140.55,124.35,158.11,110.73,130.72,172.52,197.13,156.68,Turkey
01-Oct-2008,159.77,159.88,192.66,123.4,193.93,141.1,124.4,157.17,110.69,132.44,172.14,199.31,162.83,Turkey
01-Nov-2008,161.1,161.01,192.61,126.65,197.97,143.03,124.47,155.04,110.88,134.84,172.5,201.29,162.86,Turkey
01-Dec-2008,160.44,161.78,192.61,121.69,196.92,143.87,124.08,151.15,111.44,135.64,172.36,201.75,165.28,Turkey
01-Jan-2009,160.9,164.15,192.63,111.67,198.29,143.45,124.26,152.46,112.33,138.13,172.35,203.32,170.62,Turkey
01-Feb-2009,160.35,164.18,192.82,105.44,196.32,142.02,124.39,154.59,111,137.89,171.76,204.52,176.48,Turkey
01-Mar-2009,162.12,170.6,206.12,105.51,196.08,139.97,124.41,151.52,110.38,137.66,171.94,205.55,178.82,Turkey
01-Apr-2009,162.15,170,206.16,117.06,194.05,136.73,127.15,148.94,110.69,139.17,172.11,206.39,174.26,Turkey
01-May-2009,163.19,170.32,206.24,130.48,190.34,136.47,127.37,150.12,110.88,138.78,173.31,207.22,174.87,Turkey
01-Jun-2009,163.37,167.66,206.27,129.45,191.67,136.39,127.37,154.35,112.18,140.13,174.92,208,176.58,Turkey
01-Jul-2009,163.78,166.59,228.73,121.74,192.3,137.61,127.44,155.25,112.37,143.72,176.54,208.87,178.15,Turkey
01-Aug-2009,163.29,163.97,232.69,115.38,193.73,137.85,127.48,157.84,112.59,144.12,176.91,209.79,179.23,Turkey
01-Sep-2009,163.93,164.32,232.7,114.21,194.96,138.11,127.57,158.15,112.72,147.5,181.33,211.59,182.08,Turkey
01-Oct-2009,167.88,169.18,233.02,123.79,199.1,141.57,127.65,161.48,114.08,148.75,181.64,214.21,183.77,Turkey
01-Nov-2009,170.01,172.92,232.99,129.42,200.48,140.53,127.67,163.5,114.11,148.31,181.79,215.15,187.08,Turkey
01-Dec-2009,170.91,176.76,232.88,125.81,201.47,140.02,127.11,163.08,115.17,147.74,181.79,216.5,188.01,Turkey
01-Jan-2010,174.07,179.55,284.2,115.49,204.52,141.02,126.97,168.84,114.89,147.34,181.91,218.9,188.44,Turkey
01-Feb-2010,176.59,188.55,294.78,109.43,205.32,140.86,126.71,169.55,115.02,146.5,181.94,221.46,188.85,Turkey
01-Mar-2010,177.62,189.72,294.82,110.19,205.73,140.23,126.76,170.79,118.63,147.51,182.59,223.64,190.17,Turkey
01-Apr-2010,178.68,189.99,294.87,121.85,205.97,141.15,127.94,170.87,112.9,146.8,182.43,226.23,190.08,Turkey
01-May-2010,178.04,181.66,294.84,135.45,206.77,141.36,127.91,170.82,111.39,146.12,183.53,228.27,193.82,Turkey
01-Jun-2010,177.04,177.08,294.82,135.93,207.72,141.89,127.92,170.11,112.17,145.98,185.44,228.73,193.33,Turkey
01-Jul-2010,176.19,175.78,294.85,128.87,208.3,142.77,128.25,170.95,112.05,145.4,187.08,229.51,189.45,Turkey
01-Aug-2010,176.9,180.97,294.86,122.7,208.61,142.74,127.39,170.66,110.97,145.55,187.34,230.58,189.03,Turkey
01-Sep-2010,179.07,189.51,291.62,119.99,209.3,143.42,127.6,170.86,108.92,146.8,189.52,232.29,191.35,Turkey
01-Oct-2010,182.35,198.08,288.4,129.15,209.69,143.25,127.78,171.52,108.23,145.12,189.69,234.8,192.96,Turkey
01-Nov-2010,182.4,194.34,290.17,134.15,210.91,144.12,127.79,172.3,108.58,143.95,189.43,236.84,194.43,Turkey
01-Dec-2010,181.85,189.17,290.3,131.77,213.37,144.6,127.84,174.14,111.46,144.31,189.52,237.63,198.37,Turkey
01-Jan-2011,182.6,192.22,290.3,121.54,214.61,146.08,128.2,176.65,112.81,144.2,189.59,239.44,201.09,Turkey
01-Feb-2011,183.93,197.1,290.33,115.28,214.32,147.42,128.34,179.78,113.3,143.62,189.85,240.51,202.75,Turkey
01-Mar-2011,184.7,196.3,290.43,116.17,215.14,148.8,128.53,182.6,113.68,144.28,190.41,241.55,205.12,Turkey
01-Apr-2011,186.3,195.36,290.42,128.84,215.98,151.42,128.67,184.5,111.59,144.4,190.89,242.75,205.68,Turkey
01-May-2011,190.81,204.57,290.39,143.89,217.15,151.82,128.81,185.67,111.07,145.83,193.06,244.71,208.7,Turkey
01-Jun-2011,188.08,191.47,290.4,144.81,217.67,152.66,128.86,186.27,111.86,147.56,195.78,245.89,210.94,Turkey
01-Jul-2011,187.31,189.22,290.42,137.8,217.79,153.08,127.93,187.72,112.07,148.94,197.2,247.39,214.04,Turkey
01-Aug-2011,188.67,191.83,290.45,131.81,218.96,154.35,128.01,191.28,111.97,150.17,197.81,248.98,223.78,Turkey
01-Sep-2011,190.09,193.73,290.77,127.54,220.34,155.77,128.05,194.95,112.17,150.82,201.35,251.72,229.99,Turkey
01-Oct-2011,196.31,201.56,331.8,137.73,228.25,158.28,128.09,196.14,112.81,152.45,201.83,254.23,227.78,Turkey
01-Nov-2011,199.7,208.16,344.03,145.43,229.64,160.1,128.38,195.07,113.82,152.47,201.97,255.81,231.64,Turkey
01-Dec-2011,200.85,212.26,344,142.28,230.86,160.56,128.27,195.42,114.22,153.68,201.79,257.12,232.38,Turkey
01-Jan-2012,201.98,214.65,344.08,131.07,233.9,163.1,128.39,199.44,114.21,154.95,201.69,259.06,236.55,Turkey
01-Feb-2012,203.12,219.12,344.08,125.74,235.3,164.8,129.24,200.1,113.99,154.42,201.91,260.24,237.43,Turkey
01-Mar-2012,203.96,218.39,344.07,127.08,236.84,166.3,129.64,202.4,113.62,154.81,202.26,262.23,239.03,Turkey
01-Apr-2012,207.05,218.12,344.23,143.86,244.29,167.64,130.32,202.94,113.58,155.77,203.32,265.36,239.75,Turkey
01-May-2012,206.61,212.89,344.7,156.23,244.39,166.84,130.45,200.18,113.35,156.29,205.55,267.79,240.31,Turkey
01-Jun-2012,204.76,205.61,344.69,154.95,244.72,167.66,130.62,197.4,115.53,157.7,208.99,269.09,242.42,Turkey
01-Jul-2012,204.29,206.36,344.69,148.16,243.22,166.87,130.65,198.13,116.21,156.72,211.26,270.56,243.5,Turkey
01-Aug-2012,205.43,209.37,344.68,141.35,244.88,168.06,130.32,201.29,116.05,157.68,213.27,272.23,244.69,Turkey
01-Sep-2012,207.55,213.86,345.67,137.64,246.9,168.47,130.39,204.61,117.84,157.82,210.73,276.25,250.22,Turkey
01-Oct-2012,211.62,217.42,347.32,147.02,255.07,169.31,130.44,208.82,119.37,157.5,211.31,278.11,252.16,Turkey
01-Nov-2012,212.42,217.16,347.36,156.25,256.49,169.66,130.38,206.79,119.49,157,211.46,279.96,252.26,Turkey
01-Dec-2012,213.23,220.53,347.38,153.91,257.11,170.02,130.43,206.24,120.96,156.73,211.5,281.06,252.51,Turkey
01-Jan-2013,216.74,229.35,396.91,143.22,258.91,171.86,131.08,207.28,120.93,157.1,211.72,283.73,256.83,Turkey
01-Feb-2013,217.39,231.38,400.2,134.11,259.55,173.6,131.64,210.65,121.15,156.11,212.43,285.13,256.38,Turkey
01-Mar-2013,218.83,236.09,400.18,135.26,260.14,173.76,132.27,210.55,121.17,156.62,212.62,286.89,257.12,Turkey
01-Apr-2013,219.75,233.02,400.16,152.5,260.56,174.53,132.7,209.22,121.36,157.73,213.91,289.15,254.84,Turkey
01-May-2013,220.07,227.94,400.17,165.99,260.46,174.15,132.88,209.5,121.84,158.45,217.61,291.31,253.89,Turkey
01-Jun-2013,221.75,232.09,400.14,163.1,261.19,174.51,133.07,212.63,121.92,160.75,221.93,293.13,254.01,Turkey
01-Jul-2013,222.44,232.61,399.8,155.46,262.35,174.76,133.67,217.48,123.07,161.18,223.73,294.84,253.16,Turkey
01-Aug-2013,222.21,230.82,399.86,149.84,263.24,174.74,134.18,219.01,122.98,161.89,226.4,297.09,256.3,Turkey
01-Sep-2013,223.91,232.52,399.92,146.43,265.05,176.08,134.39,223.36,123.08,162.46,232.1,301.48,258.72,Turkey
01-Oct-2013,227.94,241.62,396.99,160.43,266,178.86,134.66,224.11,123.08,163.47,232.74,304.32,257.65,Turkey
01-Nov-2013,227.96,238.38,394.43,165.68,267.16,179.79,135.69,223.92,122.57,164.53,232.74,306.28,258.18,Turkey
01-Dec-2013,229.01,241.85,383.94,161.41,269.55,180.13,136.75,226.39,122.41,164.85,232.76,308.77,258.16,Turkey
01-Jan-2014,233.54,254.32,412.55,149.16,270.87,182.93,139.3,232.06,121.68,166.92,232.89,314.1,264.44,Turkey
01-Feb-2014,234.54,254.64,412.65,141.61,272.11,185.36,140.36,237.37,121.91,167.97,233.39,318.55,267.45,Turkey
01-Mar-2014,237.18,259.98,412.57,145.13,272.73,187.03,141.56,239.47,122.24,169.11,233.84,322.79,270.66,Turkey
01-Apr-2014,240.37,263.67,412.67,164.14,273.39,189.96,142.87,238.17,122.4,169.26,236.1,325.23,270.4,Turkey
01-May-2014,241.32,260.11,412.05,179.22,274.37,189.66,144.27,236.97,122.26,169.61,238.43,328.83,271.73,Turkey
01-Jun-2014,242.07,261.04,411.81,176.98,275.02,190.54,145.69,238.16,122.36,170.28,242.53,331.87,273.63,Turkey
01-Jul-2014,243.17,261.82,420.02,171.18,276.55,190.99,146.13,239.85,124.69,175.34,243.97,335.34,275.35,Turkey
01-Aug-2014,243.4,264.14,418.09,162.76,277.42,191.58,146.37,239.7,124.86,176.38,245.79,340.85,277.15,Turkey
01-Sep-2014,243.74,264.95,413.42,158.79,278.79,192.36,146.98,239.97,124.8,176.5,250.17,344.98,279.14,Turkey
01-Oct-2014,248.37,271.97,413.41,174.59,286.99,192.75,148.01,239.53,124.68,176.55,251.47,347.96,281.21,Turkey
01-Nov-2014,248.82,272.63,413.42,181.76,287.58,194.41,148.35,235.25,124.52,174.22,252.09,350.15,280.94,Turkey
01-Dec-2014,247.72,272.64,413.37,175.02,287.95,194.64,148.54,231.07,124.38,174.21,252.11,351.95,283.15,Turkey
